SEASON,SEASON_START_DATE,TEAM_A_ID,TEAM_A_NAME,TEAM_B_ID,TEAM_B_NAME,DATE_BEFORE_GAME,GAME_DATE,HOME_TEAM,WINNER
2000-01,2000-10-31,1610612747,Lakers,1610612763,Grizzlies,2001-03-02,2001-03-03,0,1
2000-01,2000-10-31,1610612747,Lakers,1610612763,Grizzlies,2001-01-14,2001-01-15,1,1
2000-01,2000-10-31,1610612747,Lakers,1610612763,Grizzlies,2000-12-14,2000-12-15,1,1
2000-01,2000-10-31,1610612747,Lakers,1610612763,Grizzlies,2000-11-03,2000-11-04,0,1
2001-02,2001-10-30,1610612747,Lakers,1610612763,Grizzlies,2002-01-31,2002-02-01,0,1
2001-02,2001-10-30,1610612747,Lakers,1610612763,Grizzlies,2002-01-13,2002-01-14,1,1
2001-02,2001-10-30,1610612747,Lakers,1610612763,Grizzlies,2001-12-20,2001-12-21,0,0
2001-02,2001-10-30,1610612747,Lakers,1610612763,Grizzlies,2001-11-08,2001-11-09,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612763,Grizzlies,2003-04-03,2003-04-04,0,1
2002-03,2002-10-29,1610612747,Lakers,1610612763,Grizzlies,2003-03-30,2003-03-31,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612763,Grizzlies,2002-12-02,2002-12-03,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612763,Grizzlies,2002-11-28,2002-11-29,0,1
2003-04,2003-10-28,1610612747,Lakers,1610612763,Grizzlies,2004-04-08,2004-04-09,1,1
2003-04,2003-10-28,1610612747,Lakers,1610612763,Grizzlies,2004-01-20,2004-01-21,0,0
2003-04,2003-10-28,1610612747,Lakers,1610612763,Grizzlies,2003-11-22,2003-11-23,1,1
2003-04,2003-10-28,1610612747,Lakers,1610612763,Grizzlies,2003-11-09,2003-11-10,0,0
2004-05,2004-11-02,1610612747,Lakers,1610612763,Grizzlies,2005-04-02,2005-04-03,0,0
2004-05,2004-11-02,1610612747,Lakers,1610612763,Grizzlies,2004-12-19,2004-12-20,1,0
2004-05,2004-11-02,1610612747,Lakers,1610612763,Grizzlies,2004-11-09,2004-11-10,0,0
2005-06,2005-11-01,1610612747,Lakers,1610612763,Grizzlies,2006-02-10,2006-02-11,1,0
2005-06,2005-11-01,1610612747,Lakers,1610612763,Grizzlies,2005-12-27,2005-12-28,1,0
2005-06,2005-11-01,1610612747,Lakers,1610612763,Grizzlies,2005-12-13,2005-12-14,0,1
2005-06,2005-11-01,1610612747,Lakers,1610612763,Grizzlies,2005-11-13,2005-11-14,0,0
2006-07,2006-10-31,1610612747,Lakers,1610612763,Grizzlies,2007-03-26,2007-03-27,1,0
2006-07,2006-10-31,1610612747,Lakers,1610612763,Grizzlies,2007-03-21,2007-03-22,0,1
2006-07,2006-10-31,1610612747,Lakers,1610612763,Grizzlies,2007-01-08,2007-01-09,0,0
2006-07,2006-10-31,1610612747,Lakers,1610612763,Grizzlies,2006-11-11,2006-11-12,1,1
2007-08,2007-10-30,1610612747,Lakers,1610612763,Grizzlies,2008-03-27,2008-03-28,1,0
2007-08,2007-10-30,1610612747,Lakers,1610612763,Grizzlies,2008-01-12,2008-01-13,1,1
2007-08,2007-10-30,1610612747,Lakers,1610612763,Grizzlies,2008-01-07,2008-01-08,0,1
2008-09,2008-10-28,1610612747,Lakers,1610612763,Grizzlies,2009-04-11,2009-04-12,1,1
2008-09,2008-10-28,1610612747,Lakers,1610612763,Grizzlies,2009-03-02,2009-03-03,1,1
2008-09,2008-10-28,1610612747,Lakers,1610612763,Grizzlies,2009-01-30,2009-01-31,0,1
2008-09,2008-10-28,1610612747,Lakers,1610612763,Grizzlies,2008-12-21,2008-12-22,0,1
2009-10,2009-10-27,1610612747,Lakers,1610612763,Grizzlies,2010-02-22,2010-02-23,0,1
2009-10,2009-10-27,1610612747,Lakers,1610612763,Grizzlies,2010-01-31,2010-02-01,0,0
2009-10,2009-10-27,1610612747,Lakers,1610612763,Grizzlies,2009-11-05,2009-11-06,1,1
2010-11,2010-10-26,1610612747,Lakers,1610612763,Grizzlies,2011-02-06,2011-02-07,0,1
2010-11,2010-10-26,1610612747,Lakers,1610612763,Grizzlies,2011-01-01,2011-01-02,1,0
2010-11,2010-10-26,1610612747,Lakers,1610612763,Grizzlies,2010-11-29,2010-11-30,0,0
2010-11,2010-10-26,1610612747,Lakers,1610612763,Grizzlies,2010-11-01,2010-11-02,1,1
2011-12,2011-12-25,1610612747,Lakers,1610612763,Grizzlies,2012-03-24,2012-03-25,1,0
2011-12,2011-12-25,1610612747,Lakers,1610612763,Grizzlies,2012-03-12,2012-03-13,0,1
2011-12,2011-12-25,1610612747,Lakers,1610612763,Grizzlies,2012-01-07,2012-01-08,1,1
2012-13,2012-10-30,1610612747,Lakers,1610612763,Grizzlies,2013-04-04,2013-04-05,1,1
2012-13,2012-10-30,1610612747,Lakers,1610612763,Grizzlies,2013-01-22,2013-01-23,0,0
2012-13,2012-10-30,1610612747,Lakers,1610612763,Grizzlies,2012-11-22,2012-11-23,0,0
2013-14,2013-10-29,1610612747,Lakers,1610612763,Grizzlies,2014-04-12,2014-04-13,1,0
2013-14,2013-10-29,1610612747,Lakers,1610612763,Grizzlies,2014-02-25,2014-02-26,0,0
2013-14,2013-10-29,1610612747,Lakers,1610612763,Grizzlies,2013-12-16,2013-12-17,0,1
2013-14,2013-10-29,1610612747,Lakers,1610612763,Grizzlies,2013-11-14,2013-11-15,1,0
2014-15,2014-10-28,1610612747,Lakers,1610612763,Grizzlies,2015-03-05,2015-03-06,0,0
