SEASON,SEASON_START_DATE,TEAM_A_ID,TEAM_A_NAME,TEAM_B_ID,TEAM_B_NAME,DATE_BEFORE_GAME,GAME_DATE,HOME_TEAM,WINNER
2000-01,2000-10-31,1610612747,Lakers,1610612750,Timberwolves,2001-04-11,2001-04-12,1,1
2000-01,2000-10-31,1610612747,Lakers,1610612750,Timberwolves,2001-04-07,2001-04-08,0,1
2000-01,2000-10-31,1610612747,Lakers,1610612750,Timberwolves,2001-01-30,2001-01-31,0,0
2000-01,2000-10-31,1610612747,Lakers,1610612750,Timberwolves,2000-11-23,2000-11-24,1,1
2001-02,2001-10-30,1610612747,Lakers,1610612750,Timberwolves,2002-04-10,2002-04-11,1,1
2001-02,2001-10-30,1610612747,Lakers,1610612750,Timberwolves,2002-02-26,2002-02-27,0,0
2001-02,2001-10-30,1610612747,Lakers,1610612750,Timberwolves,2002-01-10,2002-01-11,0,0
2001-02,2001-10-30,1610612747,Lakers,1610612750,Timberwolves,2001-11-30,2001-12-01,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612750,Timberwolves,2003-03-13,2003-03-14,0,1
2002-03,2002-10-29,1610612747,Lakers,1610612750,Timberwolves,2003-03-06,2003-03-07,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612750,Timberwolves,2002-12-16,2002-12-17,0,0
2002-03,2002-10-29,1610612747,Lakers,1610612750,Timberwolves,2002-11-30,2002-12-01,1,0
2003-04,2003-10-28,1610612747,Lakers,1610612750,Timberwolves,2004-03-25,2004-03-26,1,1
2003-04,2003-10-28,1610612747,Lakers,1610612750,Timberwolves,2004-03-11,2004-03-12,0,0
2003-04,2003-10-28,1610612747,Lakers,1610612750,Timberwolves,2004-01-29,2004-01-30,1,0
2003-04,2003-10-28,1610612747,Lakers,1610612750,Timberwolves,2004-01-05,2004-01-06,0,0
2004-05,2004-11-02,1610612747,Lakers,1610612750,Timberwolves,2005-03-30,2005-03-31,1,0
2004-05,2004-11-02,1610612747,Lakers,1610612750,Timberwolves,2005-01-18,2005-01-19,1,1
2004-05,2004-11-02,1610612747,Lakers,1610612750,Timberwolves,2005-01-09,2005-01-10,0,1
2005-06,2005-11-01,1610612747,Lakers,1610612750,Timberwolves,2006-03-14,2006-03-15,1,1
2005-06,2005-11-01,1610612747,Lakers,1610612750,Timberwolves,2005-12-09,2005-12-10,0,0
2005-06,2005-11-01,1610612747,Lakers,1610612750,Timberwolves,2005-12-01,2005-12-02,1,0
2005-06,2005-11-01,1610612747,Lakers,1610612750,Timberwolves,2005-11-08,2005-11-09,0,0
