SEASON,SEASON_START_DATE,TEAM_A_ID,TEAM_A_NAME,TEAM_B_ID,TEAM_B_NAME,DATE_BEFORE_GAME,GAME_DATE,HOME_TEAM,WINNER
2000-01,2000-10-31,1610612747,Lakers,1610612764,Wizards,2001-03-22,2001-03-23,1,1
2000-01,2000-10-31,1610612747,Lakers,1610612764,Wizards,2001-03-15,2001-03-16,0,1
2001-02,2001-10-30,1610612747,Lakers,1610612764,Wizards,2002-04-01,2002-04-02,0,1
2001-02,2001-10-30,1610612747,Lakers,1610612764,Wizards,2002-02-11,2002-02-12,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612764,Wizards,2003-03-27,2003-03-28,1,1
2002-03,2002-10-29,1610612747,Lakers,1610612764,Wizards,2002-11-07,2002-11-08,0,0
2003-04,2003-10-28,1610612747,Lakers,1610612764,Wizards,2004-02-27,2004-02-28,0,1
2003-04,2003-10-28,1610612747,Lakers,1610612764,Wizards,2003-11-25,2003-11-26,1,1
2004-05,2004-11-02,1610612747,Lakers,1610612764,Wizards,2005-03-13,2005-03-14,0,0
2004-05,2004-11-02,1610612747,Lakers,1610612764,Wizards,2004-12-16,2004-12-17,1,0
2005-06,2005-11-01,1610612747,Lakers,1610612764,Wizards,2005-12-25,2005-12-26,0,0
2005-06,2005-11-01,1610612747,Lakers,1610612764,Wizards,2005-12-15,2005-12-16,1,1
2006-07,2006-10-31,1610612747,Lakers,1610612764,Wizards,2007-02-02,2007-02-03,0,1
2006-07,2006-10-31,1610612747,Lakers,1610612764,Wizards,2006-12-16,2006-12-17,1,0
2007-08,2007-10-30,1610612747,Lakers,1610612764,Wizards,2008-03-29,2008-03-30,1,1
2007-08,2007-10-30,1610612747,Lakers,1610612764,Wizards,2008-02-02,2008-02-03,0,1
2008-09,2008-10-28,1610612747,Lakers,1610612764,Wizards,2009-01-21,2009-01-22,1,1
2008-09,2008-10-28,1610612747,Lakers,1610612764,Wizards,2008-12-04,2008-12-05,0,1
2009-10,2009-10-27,1610612747,Lakers,1610612764,Wizards,2010-03-20,2010-03-21,1,1
2009-10,2009-10-27,1610612747,Lakers,1610612764,Wizards,2010-01-25,2010-01-26,0,1
2010-11,2010-10-26,1610612747,Lakers,1610612764,Wizards,2010-12-13,2010-12-14,0,1
2010-11,2010-10-26,1610612747,Lakers,1610612764,Wizards,2010-12-06,2010-12-07,1,1
2011-12,2011-12-25,1610612747,Lakers,1610612764,Wizards,2012-03-06,2012-03-07,0,0
2012-13,2012-10-30,1610612747,Lakers,1610612764,Wizards,2013-03-21,2013-03-22,1,0
2012-13,2012-10-30,1610612747,Lakers,1610612764,Wizards,2012-12-13,2012-12-14,0,1
2013-14,2013-10-29,1610612747,Lakers,1610612764,Wizards,2014-03-20,2014-03-21,1,0
2013-14,2013-10-29,1610612747,Lakers,1610612764,Wizards,2013-11-25,2013-11-26,0,0
2014-15,2014-10-28,1610612747,Lakers,1610612764,Wizards,2015-01-26,2015-01-27,1,0
2014-15,2014-10-28,1610612747,Lakers,1610612764,Wizards,2014-12-02,2014-12-03,0,0
2015-16,2015-10-27,1610612747,Lakers,1610612764,Wizards,2016-03-26,2016-03-27,1,0
2015-16,2015-10-27,1610612747,Lakers,1610612764,Wizards,2015-12-01,2015-12-02,0,1
2016-17,2016-10-25,1610612747,Lakers,1610612764,Wizards,2017-03-27,2017-03-28,1,0
2016-17,2016-10-25,1610612747,Lakers,1610612764,Wizards,2017-02-01,2017-02-02,0,0
2017-18,2017-10-17,1610612747,Lakers,1610612764,Wizards,2017-11-08,2017-11-09,0,0
2017-18,2017-10-17,1610612747,Lakers,1610612764,Wizards,2017-10-24,2017-10-25,1,1
2018-19,2018-10-16,1610612747,Lakers,1610612764,Wizards,2019-03-25,2019-03-26,1,1
2018-19,2018-10-16,1610612747,Lakers,1610612764,Wizards,2018-12-15,2018-12-16,0,0
2019-20,2019-10-22,1610612747,Lakers,1610612764,Wizards,2019-11-28,2019-11-29,1,1
