GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
51,101.9,0.453,0.323,0.744,13.2,34.0,21.3,17.4,5.5,101.9,96.4,0.564,1.22,15.6,0.475,0.526,0.544
17,99.8,0.439,0.295,0.732,13.1,34.4,20.8,18.0,8.7,99.8,90.7,0.577,1.15,15.2,0.458,0.515,0.585
42,99.2,0.434,0.312,0.775,14.8,34.3,22.0,17.8,1.7,99.2,97.5,0.583,1.23,15.8,0.453,0.503,0.513
26,96.2,0.426,0.289,0.768,14.9,35.3,21.6,19.1,-0.7,96.2,96.6,0.585,1.13,15.5,0.444,0.493,0.495
61,102.7,0.447,0.305,0.769,13.4,31.5,23.0,15.9,2.4,102.7,100.3,0.596,1.45,16.6,0.466,0.519,0.514
26,100.8,0.442,0.301,0.755,12.7,31.5,23.0,16.3,3.5,100.8,97.2,0.599,1.41,16.6,0.462,0.51,0.523
55,98.7,0.432,0.344,0.753,12.8,32.5,22.3,17.5,-1.3,98.7,100.0,0.61,1.27,16.2,0.459,0.51,0.496
49,98.4,0.429,0.348,0.752,13.0,32.4,22.1,17.7,-1.4,98.4,99.7,0.607,1.25,16.0,0.457,0.507,0.495
68,101.7,0.437,0.353,0.789,11.4,31.7,21.2,16.1,-0.8,101.7,102.5,0.577,1.31,15.7,0.474,0.528,0.492
63,101.7,0.437,0.349,0.786,11.6,31.3,21.1,16.1,-1.7,101.7,103.2,0.573,1.31,15.6,0.473,0.527,0.484
32,106.9,0.462,0.397,0.758,11.9,32.0,21.3,13.4,0.7,106.9,106.3,0.535,1.59,15.8,0.489,0.539,0.513
5,108.2,0.472,0.268,0.76,11.4,26.8,21.8,12.5,-6.1,108.2,114.1,0.536,1.75,16.0,0.485,0.539,0.463
61,102.0,0.456,0.347,0.77,11.7,31.1,21.9,16.7,-3.6,102.0,105.5,0.568,1.31,16.1,0.479,0.529,0.488
29,102.1,0.451,0.349,0.756,11.5,29.5,21.3,16.1,-5.5,102.1,107.4,0.559,1.32,15.7,0.475,0.525,0.472
32,101.7,0.45,0.334,0.718,13.5,32.1,21.8,17.3,-1.0,101.7,103.0,0.561,1.26,15.8,0.477,0.518,0.494
25,101.0,0.446,0.329,0.716,13.9,32.5,22.2,17.6,-1.3,101.0,102.7,0.579,1.26,16.0,0.474,0.515,0.49
64,104.9,0.457,0.315,0.739,13.8,32.0,22.2,15.9,0.7,104.9,104.1,0.557,1.39,16.0,0.483,0.527,0.508
18,100.1,0.434,0.327,0.74,15.5,33.7,21.2,17.4,0.1,100.1,99.8,0.545,1.22,15.2,0.458,0.498,0.485
57,104.5,0.453,0.343,0.774,12.5,32.3,21.9,15.4,-2.8,104.5,107.4,0.552,1.43,16.0,0.487,0.53,0.488
45,104.9,0.452,0.348,0.775,12.8,31.7,22.0,15.3,-3.0,104.9,108.0,0.553,1.43,16.0,0.487,0.53,0.485
