GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
59,97.9,0.441,0.334,0.773,11.5,31.7,24.6,17.7,-5.6,97.9,103.3,0.663,1.39,17.8,0.465,0.513,0.469
36,97.6,0.436,0.318,0.772,11.8,31.9,24.3,17.4,-4.1,97.6,101.6,0.656,1.4,17.5,0.458,0.507,0.48
22,94.8,0.416,0.316,0.767,12.4,32.6,23.1,17.2,-3.2,94.8,97.6,0.646,1.35,16.7,0.438,0.488,0.476
2,101.6,0.424,0.333,0.667,16.8,31.1,26.8,13.7,7.4,101.6,94.2,0.68,1.96,18.3,0.449,0.484,0.548
45,96.2,0.429,0.31,0.713,12.6,30.9,23.1,17.0,-7.9,96.2,104.2,0.628,1.36,16.8,0.457,0.497,0.452
36,95.5,0.419,0.313,0.713,12.9,31.1,22.8,16.7,-6.0,95.5,101.5,0.628,1.36,16.5,0.449,0.49,0.46
25,94.9,0.415,0.319,0.702,12.7,30.3,23.0,16.7,-8.8,94.9,103.5,0.636,1.38,16.7,0.448,0.485,0.436
5,94.7,0.399,0.284,0.697,13.4,31.5,22.2,16.5,-11.5,94.7,106.2,0.655,1.35,16.2,0.436,0.483,0.405
75,102.3,0.454,0.361,0.737,11.9,31.5,24.0,16.3,-3.4,102.3,105.9,0.616,1.47,17.4,0.489,0.528,0.481
73,102.6,0.455,0.364,0.738,12.0,31.6,24.0,16.3,-3.0,102.6,105.7,0.613,1.47,17.4,0.489,0.529,0.483
17,98.9,0.447,0.325,0.758,12.2,29.6,22.4,18.1,-6.7,98.9,105.6,0.589,1.24,16.4,0.475,0.518,0.459
15,98.9,0.449,0.315,0.754,12.2,29.2,22.3,18.3,-6.8,98.9,105.8,0.59,1.22,16.4,0.475,0.519,0.459
78,103.7,0.447,0.342,0.727,13.7,31.3,25.1,16.0,3.3,103.7,100.4,0.647,1.57,17.8,0.48,0.523,0.528
40,103.0,0.438,0.34,0.727,15.0,30.1,25.6,16.1,1.5,103.0,101.6,0.656,1.59,17.9,0.474,0.513,0.509
11,100.1,0.42,0.323,0.726,12.8,30.0,24.2,15.2,1.4,100.1,98.7,0.657,1.59,17.2,0.458,0.503,0.502
6,95.1,0.4,0.276,0.735,13.1,29.1,25.0,15.8,-1.3,95.1,96.0,0.706,1.57,17.7,0.435,0.479,0.477
71,104.3,0.446,0.363,0.751,12.2,31.2,23.6,16.5,3.1,104.3,101.1,0.619,1.43,17.0,0.49,0.535,0.517
26,101.2,0.435,0.358,0.744,13.4,31.2,23.9,17.7,-0.5,101.2,101.5,0.646,1.35,17.1,0.47,0.519,0.498
4,92.8,0.39,0.309,0.763,13.6,26.5,21.7,19.3,-12.6,92.8,104.5,0.675,1.13,15.7,0.417,0.482,0.41
49,102.5,0.436,0.36,0.701,11.6,32.7,21.8,15.4,2.4,102.5,100.0,0.586,1.42,16.0,0.483,0.523,0.501
26,102.7,0.439,0.377,0.695,12.1,32.6,21.8,15.9,4.6,102.7,98.1,0.58,1.37,15.9,0.485,0.524,0.519
20,102.1,0.438,0.382,0.673,11.9,33.1,21.7,16.1,5.4,102.1,96.8,0.585,1.35,15.9,0.488,0.524,0.52
7,101.4,0.447,0.399,0.642,10.9,31.0,23.0,17.7,0.5,101.4,100.6,0.622,1.3,16.7,0.502,0.532,0.488
71,105.4,0.463,0.369,0.756,11.0,29.9,21.3,17.1,-5.7,105.4,110.8,0.56,1.25,15.9,0.504,0.553,0.457
68,105.2,0.461,0.371,0.758,11.0,29.9,21.4,17.1,-5.5,105.2,110.5,0.565,1.25,15.9,0.503,0.553,0.46
35,104.3,0.451,0.372,0.775,11.1,29.6,20.4,17.2,-4.2,104.3,108.1,0.552,1.19,15.3,0.492,0.546,0.464
5,96.9,0.388,0.33,0.729,14.6,30.6,16.2,16.6,-2.5,96.9,99.4,0.481,0.98,12.1,0.423,0.48,0.435
71,103.4,0.452,0.353,0.729,10.8,32.3,19.8,16.1,-6.3,103.4,109.5,0.517,1.23,14.9,0.498,0.538,0.452
36,104.2,0.46,0.366,0.754,10.1,32.7,21.2,16.8,-4.6,104.2,108.8,0.555,1.27,15.9,0.509,0.551,0.47
33,104.1,0.46,0.365,0.756,10.0,32.9,21.4,16.6,-4.0,104.1,108.1,0.56,1.29,16.0,0.509,0.551,0.472
79,102.3,0.454,0.359,0.756,11.4,30.9,18.9,16.6,-5.9,102.3,108.3,0.496,1.14,14.2,0.485,0.532,0.456
58,101.2,0.448,0.333,0.75,11.5,31.2,18.3,16.4,-7.0,101.2,108.2,0.487,1.12,13.9,0.478,0.526,0.448
45,100.6,0.447,0.328,0.753,10.9,30.5,17.9,16.1,-7.5,100.6,108.2,0.479,1.11,13.6,0.476,0.525,0.441
26,102.4,0.458,0.338,0.76,10.6,30.8,17.5,15.8,-5.3,102.4,107.5,0.457,1.11,13.5,0.489,0.535,0.46
55,107.7,0.469,0.337,0.738,13.8,31.7,20.5,16.0,-1.2,107.7,108.6,0.494,1.28,14.9,0.494,0.535,0.491
46,109.3,0.476,0.338,0.741,14.2,31.8,20.4,16.3,0.0,109.3,109.0,0.487,1.26,14.8,0.501,0.543,0.499
5,107.7,0.481,0.368,0.709,15.4,32.3,20.6,18.6,-8.7,107.7,116.6,0.51,1.11,14.9,0.506,0.549,0.459
52,105.8,0.463,0.331,0.753,12.6,31.1,21.3,15.3,1.5,105.8,104.3,0.519,1.39,15.5,0.486,0.528,0.505
33,104.6,0.46,0.344,0.743,11.9,30.6,20.8,15.6,-0.4,104.6,104.8,0.515,1.33,15.3,0.487,0.528,0.491
17,104.1,0.463,0.335,0.729,12.1,30.5,20.5,16.2,-1.5,104.1,105.5,0.507,1.27,15.1,0.492,0.53,0.486
3,99.7,0.44,0.364,0.759,10.5,31.1,18.7,14.8,2.0,99.7,98.7,0.5,1.27,14.2,0.471,0.517,0.502
46,101.8,0.448,0.327,0.75,13.0,31.8,21.4,15.9,1.3,101.8,100.5,0.542,1.35,15.6,0.472,0.514,0.512
40,101.7,0.449,0.33,0.758,12.7,32.2,21.2,16.2,2.4,101.7,99.3,0.538,1.31,15.5,0.473,0.515,0.522
7,97.9,0.443,0.211,0.727,13.7,33.4,18.1,18.0,-3.7,97.9,101.8,0.467,1.01,13.4,0.457,0.497,0.492
75,103.9,0.445,0.348,0.778,14.4,32.6,23.2,15.8,4.4,103.9,99.5,0.579,1.48,16.5,0.474,0.516,0.528
40,102.3,0.433,0.341,0.792,14.8,32.3,22.4,16.4,3.9,102.3,98.5,0.57,1.37,15.9,0.461,0.506,0.522
