GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
48,106.5,0.465,0.345,0.663,14.2,33.0,24.0,15.2,3.0,106.5,103.6,0.592,1.58,17.1,0.499,0.532,0.529
18,107.3,0.474,0.365,0.663,14.6,32.2,24.7,16.6,4.0,107.3,103.4,0.599,1.49,17.4,0.508,0.539,0.533
40,107.5,0.455,0.349,0.68,14.1,33.7,24.8,13.1,9.2,107.5,98.3,0.606,1.9,17.6,0.492,0.525,0.561
23,107.4,0.461,0.324,0.666,14.4,33.8,24.7,14.1,10.0,107.4,97.1,0.609,1.75,17.5,0.493,0.528,0.574
60,104.0,0.445,0.34,0.736,14.0,33.1,24.4,15.3,1.9,104.0,102.5,0.621,1.59,17.3,0.478,0.52,0.52
27,97.7,0.42,0.312,0.731,13.9,33.3,23.3,16.3,-3.3,97.7,101.6,0.625,1.43,16.6,0.45,0.492,0.48
52,103.5,0.448,0.338,0.692,12.7,32.8,25.0,14.3,3.2,103.5,100.2,0.646,1.75,17.8,0.475,0.518,0.534
46,103.2,0.448,0.332,0.705,12.3,32.7,25.0,14.3,4.0,103.2,99.1,0.651,1.74,17.9,0.474,0.519,0.54
68,106.3,0.438,0.359,0.773,13.3,33.8,21.5,15.6,-2.0,106.3,108.3,0.568,1.38,15.7,0.487,0.537,0.475
62,106.6,0.44,0.357,0.778,13.1,34.3,21.6,15.8,-1.1,106.6,107.6,0.572,1.37,15.8,0.489,0.54,0.483
31,103.5,0.44,0.328,0.729,13.6,31.9,21.7,15.6,1.8,103.5,101.9,0.569,1.39,15.7,0.474,0.52,0.506
5,101.6,0.47,0.312,0.715,9.1,31.7,21.7,17.1,0.8,101.6,101.0,0.566,1.27,16.2,0.5,0.541,0.504
62,107.3,0.465,0.358,0.754,11.2,31.5,23.1,16.6,0.8,107.3,106.7,0.593,1.39,16.9,0.512,0.557,0.503
30,107.6,0.479,0.353,0.73,11.0,30.9,24.0,17.8,2.8,107.6,104.9,0.609,1.35,17.5,0.524,0.566,0.518
30,108.1,0.469,0.351,0.76,11.4,34.3,23.9,16.0,4.7,108.1,103.3,0.612,1.5,17.4,0.511,0.559,0.537
25,107.9,0.468,0.351,0.767,11.3,34.6,23.8,16.3,5.1,107.9,102.6,0.612,1.46,17.3,0.511,0.561,0.54
66,112.3,0.477,0.364,0.77,13.1,32.9,24.3,14.0,8.1,112.3,104.3,0.575,1.73,17.4,0.517,0.559,0.549
16,110.9,0.469,0.371,0.757,13.7,34.4,23.4,14.2,13.1,110.9,97.9,0.562,1.65,16.7,0.507,0.549,0.572
58,107.8,0.46,0.345,0.771,12.1,34.7,22.5,13.9,6.7,107.8,101.1,0.55,1.61,16.4,0.498,0.54,0.54
46,108.4,0.46,0.348,0.779,12.3,34.9,22.9,13.8,7.4,108.4,101.1,0.56,1.67,16.7,0.499,0.541,0.545
32,110.3,0.461,0.372,0.794,13.0,34.3,24.0,15.0,6.8,110.3,103.7,0.588,1.6,17.2,0.505,0.551,0.543
26,112.4,0.463,0.388,0.802,13.1,34.0,24.5,14.4,8.8,112.4,103.7,0.591,1.7,17.4,0.509,0.556,0.554
24,102.6,0.455,0.294,0.744,12.4,36.4,23.5,16.2,2.7,102.6,99.8,0.6,1.45,17.0,0.485,0.527,0.533
30,108.4,0.455,0.364,0.689,13.8,34.6,22.5,16.6,2.9,108.4,105.1,0.582,1.36,16.2,0.511,0.549,0.524
24,107.3,0.453,0.372,0.684,13.9,34.8,21.4,17.1,2.5,107.3,104.6,0.564,1.25,15.5,0.509,0.548,0.521
49,102.6,0.441,0.372,0.76,9.8,33.4,23.2,15.4,-5.4,102.6,107.7,0.616,1.51,17.2,0.497,0.536,0.459
30,101.8,0.441,0.374,0.731,10.2,33.5,22.6,15.6,-4.1,101.8,105.5,0.596,1.45,16.7,0.497,0.531,0.462
72,102.3,0.436,0.342,0.746,12.1,33.6,21.6,13.7,-6.1,102.3,108.5,0.557,1.58,15.9,0.473,0.513,0.457
67,102.2,0.435,0.344,0.743,12.0,33.7,21.6,13.7,-6.3,102.2,108.6,0.559,1.58,15.9,0.472,0.512,0.456
33,99.2,0.413,0.319,0.757,10.8,33.1,19.0,14.6,-10.7,99.2,109.9,0.525,1.3,14.3,0.461,0.504,0.42
16,99.4,0.411,0.316,0.784,9.6,34.9,19.1,14.8,-9.1,99.4,108.6,0.538,1.29,14.4,0.459,0.509,0.437
