GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
56,107.1,0.468,0.344,0.667,14.0,33.2,24.2,15.2,2.7,107.1,104.5,0.596,1.6,17.2,0.501,0.535,0.527
36,107.1,0.473,0.355,0.65,14.0,33.0,24.6,15.2,3.9,107.1,103.2,0.598,1.61,17.5,0.507,0.537,0.533
24,107.1,0.471,0.363,0.656,14.8,32.4,25.6,15.9,3.4,107.1,103.7,0.613,1.61,17.9,0.505,0.533,0.527
2,106.2,0.493,0.333,0.625,12.4,31.6,25.4,18.6,2.8,106.2,102.2,0.643,1.36,18.1,0.521,0.552,0.536
43,107.8,0.457,0.347,0.682,14.1,33.8,24.8,13.0,9.7,107.8,98.2,0.602,1.9,17.6,0.494,0.527,0.564
34,107.6,0.457,0.351,0.673,14.0,33.9,25.0,13.3,9.8,107.6,97.7,0.614,1.89,17.7,0.493,0.527,0.567
22,107.2,0.46,0.329,0.665,14.1,34.0,24.3,14.0,10.8,107.2,96.1,0.603,1.74,17.3,0.493,0.528,0.582
4,107.7,0.492,0.345,0.699,9.2,31.5,22.8,16.7,10.8,107.7,95.9,0.61,1.37,17.1,0.524,0.574,0.573
75,104.8,0.448,0.346,0.734,13.8,33.0,24.4,15.3,2.0,104.8,103.1,0.617,1.6,17.3,0.482,0.524,0.519
73,104.7,0.447,0.344,0.734,13.8,32.9,24.3,15.2,1.6,104.7,103.4,0.617,1.6,17.3,0.481,0.523,0.517
18,96.7,0.415,0.283,0.746,14.2,32.8,22.8,15.7,-3.4,96.7,100.7,0.611,1.45,16.3,0.441,0.482,0.485
16,95.2,0.408,0.279,0.749,14.1,32.7,22.5,16.0,-4.0,95.2,99.8,0.619,1.41,16.2,0.434,0.478,0.482
78,104.2,0.454,0.331,0.693,12.9,32.9,25.2,14.6,4.4,104.2,99.9,0.643,1.72,17.9,0.481,0.522,0.54
38,104.1,0.454,0.34,0.706,12.2,32.4,25.4,14.6,5.4,104.1,98.5,0.656,1.74,18.1,0.481,0.525,0.551
13,104.1,0.45,0.286,0.694,12.2,33.9,24.2,14.9,6.0,104.1,97.6,0.636,1.62,17.3,0.471,0.521,0.551
6,106.6,0.457,0.309,0.654,13.9,35.4,26.7,14.3,4.3,106.6,101.7,0.66,1.87,18.5,0.486,0.52,0.532
72,106.2,0.439,0.358,0.773,13.2,33.6,21.5,15.7,-2.0,106.2,108.3,0.567,1.37,15.7,0.488,0.537,0.475
23,106.6,0.445,0.364,0.771,13.2,33.9,21.6,16.6,0.7,106.6,106.3,0.574,1.3,15.7,0.494,0.546,0.493
5,103.3,0.448,0.357,0.792,11.5,34.3,19.6,21.1,0.0,103.3,103.0,0.584,0.93,14.6,0.491,0.565,0.493
49,105.4,0.443,0.338,0.742,13.5,32.2,21.6,15.4,1.2,105.4,104.3,0.563,1.4,15.7,0.481,0.528,0.504
28,103.9,0.44,0.326,0.734,13.7,32.1,21.8,15.5,2.5,103.9,101.5,0.57,1.4,15.8,0.473,0.52,0.514
21,103.8,0.439,0.341,0.742,13.9,31.1,21.8,15.2,0.9,103.8,102.9,0.562,1.43,15.8,0.473,0.517,0.495
6,100.2,0.455,0.32,0.715,10.0,31.9,21.4,17.4,0.0,100.2,100.2,0.561,1.23,15.8,0.487,0.526,0.486
70,107.2,0.465,0.355,0.751,11.2,31.5,23.2,16.6,-0.1,107.2,107.4,0.596,1.39,17.0,0.512,0.557,0.499
67,106.8,0.464,0.355,0.75,11.1,31.5,23.1,16.7,-0.3,106.8,107.2,0.596,1.39,16.9,0.511,0.555,0.497
34,108.7,0.482,0.363,0.728,11.0,31.3,24.5,17.4,3.6,108.7,105.3,0.614,1.41,17.7,0.529,0.569,0.523
7,106.4,0.486,0.341,0.724,12.0,30.2,24.7,19.8,-1.2,106.4,107.3,0.642,1.25,17.9,0.528,0.572,0.504
72,110.7,0.476,0.373,0.762,11.2,34.1,24.5,14.7,6.9,110.7,103.9,0.606,1.67,17.8,0.523,0.567,0.547
