GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
79,106.6,0.465,0.342,0.68,14.0,33.4,24.4,15.5,3.2,106.6,103.5,0.607,1.58,17.3,0.497,0.534,0.53
77,106.4,0.464,0.339,0.68,14.0,33.5,24.2,15.4,2.9,106.4,103.7,0.603,1.57,17.2,0.496,0.533,0.528
43,107.0,0.468,0.35,0.651,14.2,32.9,24.1,15.0,3.2,107.0,103.9,0.59,1.61,17.1,0.503,0.533,0.529
12,106.5,0.479,0.374,0.653,13.5,31.9,24.5,17.1,4.5,106.5,101.7,0.597,1.44,17.4,0.513,0.542,0.536
78,107.8,0.461,0.354,0.693,13.5,33.8,24.6,13.6,7.6,107.8,100.2,0.599,1.81,17.5,0.498,0.533,0.55
55,108.3,0.459,0.359,0.686,13.9,33.4,25.0,13.1,8.7,108.3,99.7,0.603,1.91,17.7,0.498,0.53,0.552
32,107.8,0.46,0.344,0.676,14.0,34.1,24.9,13.4,11.1,107.8,96.7,0.605,1.86,17.7,0.495,0.529,0.576
15,107.9,0.47,0.35,0.667,13.9,32.8,24.4,15.2,11.3,107.9,96.4,0.608,1.6,17.4,0.505,0.541,0.587
63,103.9,0.444,0.341,0.734,13.9,32.9,24.4,15.3,1.4,103.9,103.0,0.623,1.6,17.4,0.478,0.52,0.516
59,103.8,0.444,0.34,0.737,13.9,33.1,24.4,15.5,1.7,103.8,102.5,0.623,1.58,17.3,0.478,0.52,0.519
25,98.8,0.427,0.316,0.734,13.7,33.2,23.5,16.5,-1.8,98.8,101.3,0.627,1.43,16.8,0.457,0.499,0.492
17,95.9,0.411,0.288,0.749,14.3,32.7,22.3,16.1,-3.4,95.9,99.9,0.606,1.38,16.0,0.438,0.481,0.485
71,104.6,0.456,0.327,0.69,12.8,32.8,25.5,14.3,4.2,104.6,100.5,0.645,1.78,18.1,0.483,0.523,0.538
64,104.6,0.453,0.336,0.69,12.8,32.5,25.5,14.1,4.1,104.6,100.6,0.647,1.8,18.1,0.482,0.522,0.536
42,103.9,0.451,0.339,0.705,12.4,32.3,25.2,14.4,4.9,103.9,98.9,0.65,1.75,18.0,0.478,0.522,0.544
30,105.3,0.462,0.34,0.698,11.9,32.4,25.5,15.0,6.0,105.3,99.1,0.656,1.71,18.2,0.489,0.534,0.561
70,106.3,0.439,0.36,0.773,13.2,33.7,21.5,15.7,-1.9,106.3,108.2,0.568,1.37,15.7,0.489,0.538,0.476
36,106.2,0.434,0.351,0.772,13.5,34.6,21.1,15.8,0.3,106.2,106.1,0.567,1.33,15.3,0.484,0.537,0.492
31,106.6,0.437,0.355,0.777,13.4,34.7,21.3,16.0,0.6,106.6,106.3,0.571,1.33,15.5,0.488,0.541,0.496
65,106.7,0.45,0.346,0.745,13.3,31.9,22.3,15.2,1.5,106.7,105.2,0.572,1.46,16.1,0.49,0.536,0.509
19,103.0,0.436,0.343,0.736,14.2,31.3,22.2,15.6,1.5,103.0,101.6,0.574,1.42,15.9,0.47,0.513,0.501
14,99.6,0.418,0.317,0.722,13.6,31.0,20.0,15.4,-0.9,99.6,100.4,0.549,1.3,14.7,0.449,0.497,0.477
4,105.2,0.485,0.31,0.732,8.9,31.4,22.2,17.3,4.4,105.2,100.7,0.573,1.29,16.6,0.519,0.563,0.526
66,106.8,0.463,0.355,0.75,11.2,31.4,22.9,16.6,-0.4,106.8,107.3,0.591,1.38,16.8,0.51,0.554,0.496
60,107.7,0.466,0.361,0.754,11.3,31.6,23.2,16.6,1.4,107.7,106.6,0.595,1.4,17.0,0.513,0.558,0.506
25,107.4,0.478,0.351,0.725,11.2,30.6,24.5,18.2,3.0,107.4,104.4,0.625,1.35,17.7,0.525,0.566,0.523
4,112.4,0.511,0.4,0.725,12.7,32.5,26.6,19.5,2.5,112.4,109.9,0.673,1.36,19.0,0.557,0.603,0.538
51,109.6,0.477,0.374,0.755,11.0,34.2,24.2,15.5,6.1,109.6,103.6,0.608,1.57,17.6,0.523,0.568,0.542
17,107.0,0.464,0.35,0.783,11.3,34.2,23.1,17.1,3.5,107.0,103.2,0.604,1.35,16.9,0.507,0.56,0.529
4,107.9,0.505,0.35,0.721,9.7,34.0,24.3,16.9,3.7,107.9,103.4,0.587,1.44,17.9,0.536,0.573,0.531
61,112.4,0.476,0.364,0.77,13.2,32.9,24.5,14.1,8.4,112.4,104.1,0.582,1.73,17.5,0.516,0.559,0.549
55,112.8,0.477,0.37,0.769,13.2,33.2,24.3,14.1,8.6,112.8,104.3,0.579,1.73,17.4,0.518,0.561,0.551
44,112.2,0.476,0.38,0.769,12.7,33.1,24.3,14.4,8.8,112.2,103.4,0.586,1.69,17.4,0.518,0.562,0.551
22,111.2,0.474,0.382,0.754,13.3,33.9,23.9,14.9,10.9,111.2,100.5,0.582,1.6,17.1,0.515,0.559,0.565
78,107.7,0.458,0.342,0.767,12.4,34.4,22.3,14.2,5.3,107.7,102.6,0.55,1.57,16.2,0.497,0.54,0.531
68,108.1,0.461,0.341,0.769,12.4,34.4,22.4,14.1,6.3,108.1,101.8,0.549,1.59,16.3,0.499,0.541,0.537
20,108.0,0.463,0.352,0.756,12.4,34.3,24.7,14.5,9.4,108.0,98.7,0.597,1.7,17.6,0.503,0.541,0.562
68,110.1,0.465,0.358,0.782,13.2,34.4,23.9,14.2,7.0,110.1,103.5,0.576,1.68,17.1,0.505,0.548,0.544
61,110.3,0.47,0.361,0.781,12.9,34.2,23.9,14.5,6.7,110.3,104.0,0.577,1.64,17.2,0.509,0.553,0.541
12,115.9,0.472,0.429,0.814,14.3,34.3,24.6,14.3,9.7,115.9,106.8,0.572,1.72,17.4,0.524,0.567,0.554
7,116.8,0.478,0.45,0.817,13.6,34.4,24.6,13.9,13.9,116.8,103.7,0.571,1.77,17.5,0.533,0.577,0.574
43,102.7,0.454,0.304,0.75,12.4,37.0,23.1,16.4,2.7,102.7,100.2,0.594,1.4,16.8,0.487,0.529,0.531
39,102.1,0.451,0.3,0.748,12.6,37.1,23.0,16.2,2.5,102.1,99.8,0.591,1.42,16.7,0.483,0.525,0.531
34,101.5,0.449,0.305,0.742,12.9,36.9,22.7,16.4,1.9,101.5,99.7,0.586,1.38,16.5,0.481,0.521,0.524
20,101.4,0.45,0.272,0.74,12.7,35.9,24.0,16.5,1.5,101.4,99.8,0.618,1.46,17.3,0.477,0.519,0.528
71,106.7,0.457,0.358,0.689,12.0,34.8,23.0,15.7,0.9,106.7,105.8,0.591,1.46,16.7,0.512,0.547,0.511
58,106.8,0.46,0.355,0.69,12.1,34.6,23.1,16.0,0.9,106.8,106.0,0.591,1.44,16.7,0.512,0.547,0.511
46,107.2,0.457,0.356,0.688,12.7,34.5,23.3,16.2,1.4,107.2,105.7,0.597,1.43,16.8,0.512,0.547,0.514
71,102.9,0.45,0.385,0.75,9.2,32.3,24.0,15.6,-6.1,102.9,108.7,0.629,1.54,17.7,0.505,0.542,0.46
47,102.3,0.44,0.367,0.757,9.9,33.4,22.9,15.4,-5.7,102.3,107.7,0.608,1.49,17.0,0.494,0.533,0.456
25,102.9,0.443,0.383,0.737,10.3,33.4,23.8,15.3,-3.2,102.9,105.8,0.618,1.56,17.4,0.5,0.534,0.466
7,97.6,0.409,0.397,0.715,10.6,34.8,22.3,16.0,-7.2,97.6,104.4,0.625,1.39,16.4,0.469,0.504,0.427
78,102.2,0.435,0.345,0.741,12.0,33.6,21.6,13.7,-7.0,102.2,109.2,0.558,1.57,15.8,0.473,0.513,0.452
69,102.5,0.437,0.346,0.744,12.0,33.6,21.6,13.7,-6.1,102.5,108.7,0.557,1.59,15.9,0.474,0.514,0.458
23,105.4,0.441,0.336,0.746,12.5,30.7,21.0,12.4,-7.6,105.4,112.8,0.531,1.68,15.5,0.477,0.52,0.449
15,105.1,0.438,0.299,0.752,13.3,29.8,20.2,13.1,-9.7,105.1,114.7,0.52,1.54,14.8,0.468,0.517,0.437
50,98.7,0.411,0.31,0.772,10.8,33.4,18.9,14.7,-10.7,98.7,109.3,0.526,1.28,14.2,0.455,0.502,0.421
21,98.6,0.408,0.32,0.788,10.5,34.1,18.3,14.9,-9.4,98.6,108.1,0.517,1.23,13.9,0.455,0.504,0.429
79,105.4,0.449,0.346,0.756,11.5,32.4,21.0,15.3,-7.2,105.4,112.4,0.53,1.37,15.5,0.501,0.537,0.445
74,105.2,0.448,0.348,0.755,11.3,32.4,20.9,15.3,-7.5,105.2,112.6,0.531,1.37,15.5,0.501,0.537,0.443
71,105.3,0.447,0.346,0.754,11.5,32.3,20.9,15.2,-7.6,105.3,112.7,0.531,1.37,15.5,0.5,0.536,0.442
10,109.3,0.476,0.348,0.815,10.8,33.0,21.6,17.2,3.8,109.3,105.7,0.524,1.25,16.0,0.531,0.569,0.507
78,106.2,0.462,0.346,0.708,10.5,34.9,23.4,15.4,-1.3,106.2,107.4,0.585,1.52,17.1,0.519,0.549,0.493
56,104.7,0.459,0.335,0.696,10.9,34.2,23.0,15.7,-2.8,104.7,107.2,0.576,1.47,16.8,0.511,0.539,0.484
35,103.6,0.454,0.327,0.69,11.0,33.9,22.4,15.7,-3.7,103.6,107.0,0.566,1.43,16.4,0.503,0.532,0.477
31,102.8,0.454,0.329,0.691,10.4,34.7,22.4,16.1,-2.7,102.8,105.1,0.572,1.39,16.5,0.504,0.534,0.485
48,107.5,0.472,0.335,0.687,9.7,35.7,23.4,15.1,0.6,107.5,106.7,0.572,1.55,17.1,0.529,0.556,0.509
39,108.0,0.476,0.345,0.69,9.3,35.4,23.4,15.0,1.4,108.0,106.5,0.569,1.57,17.2,0.536,0.561,0.511
10,110.8,0.494,0.343,0.717,9.0,32.3,23.9,14.4,-1.0,110.8,111.6,0.553,1.66,17.5,0.546,0.573,0.499
6,113.1,0.497,0.325,0.715,8.8,32.7,25.3,12.3,0.3,113.1,113.0,0.571,2.05,18.4,0.55,0.575,0.509
23,111.9,0.485,0.367,0.739,9.6,35.3,26.1,14.9,9.4,111.9,102.9,0.617,1.75,18.7,0.548,0.577,0.564
28,112.1,0.485,0.359,0.748,9.6,35.8,24.9,14.9,7.0,112.1,105.1,0.593,1.67,18.1,0.548,0.58,0.542
2,119.3,0.517,0.412,0.745,12.1,35.3,26.6,17.4,7.7,119.3,112.7,0.618,1.53,19.0,0.599,0.629,0.557
