GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
58,107.1,0.469,0.34,0.67,14.1,33.4,24.3,15.3,3.1,107.1,104.2,0.596,1.59,17.2,0.501,0.536,0.529
57,107.1,0.468,0.343,0.667,14.0,33.3,24.3,15.2,2.8,107.1,104.3,0.598,1.6,17.3,0.501,0.535,0.528
19,107.0,0.472,0.364,0.671,14.5,32.3,24.6,16.6,4.4,107.0,102.8,0.598,1.48,17.3,0.506,0.538,0.537
11,106.1,0.471,0.354,0.656,13.8,31.5,24.4,16.4,3.0,106.1,102.9,0.598,1.49,17.3,0.503,0.535,0.52
62,108.2,0.46,0.359,0.682,13.9,33.7,24.9,13.3,9.0,108.2,99.3,0.602,1.87,17.7,0.498,0.531,0.556
24,106.8,0.458,0.324,0.666,14.2,34.2,24.6,14.0,9.9,106.8,96.7,0.608,1.76,17.5,0.491,0.526,0.574
20,106.8,0.461,0.319,0.66,14.1,33.8,24.3,14.2,10.7,106.8,95.9,0.603,1.71,17.3,0.492,0.527,0.581
11,104.5,0.462,0.337,0.656,13.1,33.5,24.0,16.0,9.7,104.5,94.9,0.621,1.5,17.3,0.494,0.532,0.578
81,105.4,0.451,0.355,0.733,13.8,32.8,24.5,15.4,2.4,105.4,103.2,0.618,1.59,17.4,0.486,0.528,0.519
40,101.1,0.437,0.324,0.726,14.2,33.5,24.4,16.4,0.3,101.1,101.4,0.635,1.48,17.3,0.469,0.509,0.506
22,98.2,0.424,0.315,0.732,13.9,33.1,23.3,16.4,-2.1,98.2,101.0,0.621,1.42,16.7,0.454,0.494,0.488
8,95.5,0.388,0.274,0.84,15.7,30.4,23.1,15.3,-4.5,95.5,100.7,0.648,1.51,16.4,0.419,0.471,0.465
80,104.1,0.453,0.33,0.693,12.9,32.9,25.2,14.7,4.2,104.1,100.0,0.645,1.72,17.9,0.481,0.522,0.538
51,103.2,0.448,0.337,0.695,12.4,32.8,25.0,14.3,3.3,103.2,99.9,0.646,1.75,17.8,0.475,0.517,0.534
25,105.6,0.468,0.331,0.707,11.1,33.1,25.6,14.9,7.3,105.6,98.0,0.661,1.72,18.4,0.493,0.54,0.575
2,108.7,0.482,0.273,0.661,11.3,39.0,28.7,12.3,10.3,108.7,97.5,0.683,2.33,20.1,0.509,0.541,0.593
80,106.4,0.438,0.357,0.778,13.4,33.1,21.9,15.5,-2.9,106.4,109.3,0.577,1.42,15.9,0.486,0.536,0.47
37,106.2,0.435,0.354,0.773,13.3,34.6,21.0,15.8,0.4,106.2,106.0,0.565,1.33,15.3,0.485,0.538,0.492
34,106.2,0.434,0.348,0.775,13.5,34.5,21.2,16.1,0.5,106.2,106.0,0.572,1.32,15.4,0.485,0.538,0.493
16,104.2,0.442,0.353,0.783,11.8,33.6,21.2,17.3,0.1,104.2,104.6,0.591,1.22,15.7,0.49,0.548,0.496
78,106.3,0.452,0.349,0.744,12.7,32.4,22.5,15.2,2.0,106.3,104.5,0.576,1.48,16.3,0.494,0.538,0.513
58,105.9,0.445,0.339,0.741,13.2,32.0,22.2,15.2,1.6,105.9,104.4,0.576,1.46,16.1,0.485,0.532,0.508
41,105.8,0.448,0.337,0.745,13.2,32.3,21.9,15.2,2.3,105.8,103.6,0.56,1.44,15.9,0.484,0.53,0.511
36,105.0,0.446,0.336,0.73,13.2,31.9,21.8,15.2,2.3,105.0,102.8,0.562,1.43,15.8,0.482,0.526,0.511
69,107.1,0.465,0.354,0.752,11.1,31.4,23.2,16.5,-0.1,107.1,107.4,0.596,1.41,17.0,0.512,0.557,0.499
56,107.7,0.466,0.361,0.749,11.4,31.4,23.4,16.6,1.3,107.7,106.6,0.598,1.41,17.0,0.514,0.558,0.504
41,108.6,0.476,0.363,0.743,10.9,31.1,24.2,16.8,1.7,108.6,107.0,0.61,1.44,17.6,0.523,0.565,0.511
70,110.9,0.477,0.375,0.761,11.1,34.1,24.6,14.7,7.3,110.9,103.8,0.606,1.67,17.8,0.524,0.568,0.549
69,111.0,0.478,0.376,0.76,11.0,34.1,24.6,14.7,7.4,111.0,103.7,0.605,1.68,17.8,0.525,0.569,0.55
21,107.9,0.47,0.359,0.769,10.8,34.1,23.6,16.3,4.8,107.9,103.0,0.608,1.44,17.2,0.514,0.564,0.538
19,107.6,0.469,0.359,0.772,11.1,34.0,23.6,16.8,4.5,107.6,102.9,0.611,1.4,17.2,0.514,0.564,0.537
67,112.2,0.477,0.364,0.77,13.0,33.0,24.4,14.1,8.0,112.2,104.4,0.578,1.73,17.4,0.517,0.56,0.548
53,112.6,0.478,0.369,0.765,13.2,33.2,24.2,14.2,8.8,112.6,103.9,0.574,1.71,17.3,0.519,0.561,0.551
33,111.3,0.472,0.38,0.767,12.7,33.6,24.0,14.5,9.7,111.3,101.8,0.588,1.66,17.3,0.514,0.56,0.558
