GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
68,106.9,0.467,0.338,0.677,14.1,33.4,24.1,15.4,3.0,106.9,104.0,0.594,1.57,17.1,0.499,0.535,0.529
64,107.0,0.467,0.336,0.674,14.0,33.4,23.9,15.2,3.1,107.0,104.1,0.589,1.57,17.0,0.5,0.535,0.529
73,107.8,0.46,0.354,0.686,13.6,33.7,24.7,13.6,7.6,107.8,100.2,0.602,1.82,17.6,0.497,0.532,0.55
46,107.7,0.457,0.347,0.687,14.2,33.7,24.8,13.2,9.4,107.7,98.4,0.603,1.87,17.6,0.494,0.528,0.56
71,104.4,0.446,0.34,0.734,13.8,33.0,24.4,15.2,1.8,104.4,103.0,0.619,1.6,17.3,0.48,0.522,0.519
6,94.1,0.386,0.258,0.831,15.8,30.3,22.9,16.8,-3.6,94.1,98.4,0.653,1.36,16.2,0.416,0.468,0.466
56,104.2,0.451,0.337,0.693,12.9,32.4,25.3,14.2,3.7,104.2,100.4,0.644,1.78,18.0,0.478,0.52,0.535
14,105.4,0.459,0.298,0.707,11.7,33.7,24.7,14.9,7.9,105.4,97.0,0.642,1.66,17.7,0.481,0.531,0.566
61,106.8,0.442,0.359,0.778,13.0,34.5,21.6,15.7,-0.8,106.8,107.6,0.57,1.38,15.8,0.491,0.542,0.485
22,106.3,0.444,0.357,0.773,13.3,34.0,21.6,16.5,0.9,106.3,105.8,0.576,1.31,15.8,0.492,0.544,0.496
27,104.1,0.441,0.327,0.732,13.7,32.0,21.9,15.4,2.8,104.1,101.5,0.571,1.42,15.8,0.474,0.52,0.514
22,104.0,0.441,0.344,0.736,14.0,31.4,21.9,15.3,1.6,104.0,102.5,0.562,1.43,15.8,0.475,0.518,0.499
47,107.4,0.47,0.361,0.739,10.9,31.3,23.5,16.8,1.3,107.4,106.3,0.6,1.4,17.1,0.517,0.56,0.506
23,107.2,0.478,0.351,0.724,11.5,30.8,24.4,18.4,3.8,107.2,103.3,0.624,1.33,17.6,0.523,0.564,0.527
73,110.7,0.475,0.372,0.763,11.3,34.0,24.6,14.6,6.8,110.7,104.1,0.608,1.68,17.8,0.522,0.566,0.546
45,109.0,0.476,0.369,0.749,11.1,34.3,23.9,15.7,5.8,109.0,103.3,0.602,1.52,17.4,0.52,0.565,0.541
41,112.3,0.476,0.38,0.766,12.9,33.1,24.3,14.4,8.8,112.3,103.5,0.583,1.69,17.4,0.518,0.562,0.552
17,111.4,0.475,0.375,0.76,13.4,34.4,23.5,14.3,13.1,111.4,98.5,0.562,1.64,16.8,0.513,0.555,0.574
69,108.0,0.46,0.34,0.77,12.4,34.4,22.5,14.1,6.3,108.0,101.7,0.551,1.59,16.3,0.498,0.541,0.537
44,107.7,0.457,0.35,0.777,12.3,34.7,23.0,13.9,6.9,107.7,100.9,0.564,1.65,16.7,0.497,0.538,0.541
24,111.9,0.462,0.389,0.811,13.1,33.5,24.3,14.5,8.2,111.9,104.0,0.587,1.67,17.3,0.508,0.554,0.551
20,114.0,0.467,0.4,0.821,13.2,33.9,24.4,14.2,9.3,114.0,105.1,0.581,1.72,17.4,0.515,0.562,0.555
38,102.0,0.452,0.298,0.746,12.7,37.2,23.0,16.3,2.7,102.0,99.5,0.59,1.41,16.7,0.484,0.525,0.533
69,106.8,0.458,0.359,0.69,12.0,34.7,23.0,15.8,1.1,106.8,105.8,0.592,1.46,16.7,0.512,0.547,0.511
23,107.4,0.453,0.377,0.683,13.9,34.9,21.5,17.3,2.3,107.4,104.7,0.567,1.24,15.6,0.51,0.549,0.519
67,102.4,0.446,0.382,0.75,9.2,32.5,23.9,15.4,-6.8,102.4,108.9,0.629,1.54,17.7,0.502,0.539,0.456
14,100.7,0.434,0.403,0.717,10.6,34.7,24.0,15.4,-2.3,100.7,103.0,0.631,1.56,17.5,0.492,0.521,0.467
45,102.9,0.435,0.348,0.744,11.8,32.9,21.2,13.6,-7.1,102.9,110.0,0.553,1.56,15.7,0.475,0.517,0.454
18,107.3,0.449,0.329,0.748,13.1,30.4,21.1,13.0,-7.2,107.3,114.3,0.529,1.62,15.4,0.483,0.529,0.454
72,101.5,0.419,0.319,0.776,11.0,33.4,18.9,14.2,-9.1,101.5,110.4,0.516,1.33,14.3,0.465,0.513,0.429
17,99.2,0.409,0.31,0.78,9.8,35.0,18.9,14.7,-9.3,99.2,108.6,0.533,1.29,14.3,0.456,0.506,0.433
73,105.2,0.448,0.348,0.754,11.3,32.4,20.9,15.2,-7.4,105.2,112.5,0.532,1.37,15.5,0.5,0.537,0.442
51,105.6,0.445,0.354,0.766,11.7,32.8,20.9,15.4,-6.3,105.6,111.6,0.533,1.35,15.5,0.498,0.537,0.449
11,101.1,0.469,0.304,0.728,8.3,36.1,21.5,16.9,-1.7,101.1,102.7,0.549,1.27,16.3,0.51,0.543,0.498
3,101.5,0.471,0.362,0.697,7.9,32.0,21.1,16.6,-6.3,101.5,107.2,0.543,1.27,16.2,0.516,0.546,0.454
73,107.2,0.471,0.329,0.697,9.5,35.0,24.2,15.1,-2.1,107.2,109.1,0.593,1.61,17.6,0.527,0.555,0.493
29,109.3,0.478,0.351,0.699,9.8,34.6,23.3,14.9,2.4,109.3,106.7,0.559,1.56,17.1,0.537,0.563,0.515
18,111.2,0.482,0.358,0.744,10.0,34.3,26.3,14.8,8.5,111.2,103.4,0.62,1.78,18.8,0.542,0.571,0.555
