GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
77,104.1,0.458,0.361,0.787,13.1,32.4,27.4,15.0,2.4,104.1,101.5,0.667,1.83,19.2,0.482,0.523,0.523
75,103.9,0.458,0.361,0.785,13.1,32.4,27.3,14.8,2.4,103.9,101.4,0.666,1.84,19.1,0.481,0.522,0.523
46,102.9,0.456,0.345,0.796,12.5,32.1,26.3,15.2,1.3,102.9,101.4,0.652,1.73,18.6,0.478,0.522,0.515
11,103.1,0.463,0.397,0.771,13.1,30.9,24.8,16.4,2.2,103.1,100.7,0.605,1.51,17.7,0.49,0.527,0.52
78,107.5,0.463,0.379,0.8,13.9,33.8,26.5,14.5,3.8,107.5,104.0,0.629,1.83,18.5,0.491,0.533,0.531
56,108.3,0.465,0.383,0.797,14.2,34.0,27.1,14.4,5.3,108.3,103.3,0.634,1.88,18.8,0.494,0.533,0.542
34,109.7,0.472,0.396,0.798,14.4,34.5,28.3,14.0,7.3,109.7,102.6,0.644,2.03,19.4,0.499,0.536,0.558
14,108.6,0.465,0.381,0.806,13.9,34.3,27.4,13.3,6.4,108.6,102.6,0.634,2.06,19.0,0.488,0.528,0.566
67,104.0,0.463,0.365,0.768,12.3,34.0,26.6,14.7,2.0,104.0,102.0,0.654,1.81,18.9,0.484,0.527,0.529
63,103.8,0.461,0.361,0.768,12.5,33.9,26.6,14.7,2.3,103.8,101.5,0.654,1.8,18.8,0.481,0.524,0.529
24,100.5,0.444,0.358,0.74,13.4,33.3,24.7,15.3,-0.5,100.5,101.1,0.631,1.62,17.5,0.46,0.504,0.508
17,98.5,0.438,0.328,0.739,12.6,33.9,23.2,15.5,-1.4,98.5,99.9,0.606,1.49,16.7,0.453,0.499,0.499
72,104.2,0.465,0.357,0.78,11.4,35.5,25.7,13.9,5.4,104.2,99.1,0.626,1.85,18.4,0.488,0.529,0.552
65,104.6,0.467,0.358,0.779,11.4,35.3,26.0,13.8,5.8,104.6,99.2,0.631,1.89,18.6,0.491,0.531,0.555
44,104.2,0.467,0.342,0.772,11.4,34.6,25.7,13.9,5.4,104.2,99.0,0.621,1.85,18.4,0.489,0.528,0.551
32,104.4,0.473,0.35,0.773,10.9,34.6,26.3,14.1,5.6,104.4,99.0,0.627,1.86,18.8,0.495,0.532,0.556
71,105.8,0.456,0.345,0.802,12.7,34.3,25.8,14.8,0.8,105.8,105.0,0.636,1.74,18.3,0.487,0.532,0.514
37,107.1,0.457,0.354,0.809,13.4,34.5,25.4,14.6,2.3,107.1,104.9,0.622,1.74,18.0,0.491,0.536,0.521
32,108.0,0.459,0.359,0.812,13.8,34.1,25.4,14.5,2.8,108.0,105.2,0.617,1.75,18.0,0.493,0.538,0.523
63,102.4,0.459,0.335,0.752,11.0,33.1,23.1,16.0,-1.3,102.4,103.7,0.586,1.45,16.9,0.485,0.528,0.507
17,104.8,0.468,0.353,0.747,10.4,33.0,23.2,15.1,4.7,104.8,99.9,0.577,1.54,17.1,0.5,0.54,0.539
