GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
60,97.3,0.42,0.303,0.713,15.6,30.7,23.0,16.7,-7.8,97.3,104.9,0.613,1.38,16.3,0.443,0.484,0.44
59,97.3,0.421,0.304,0.71,15.5,30.8,23.1,16.7,-7.6,97.3,104.8,0.615,1.39,16.4,0.444,0.484,0.441
18,94.1,0.411,0.305,0.682,15.2,32.0,21.6,17.1,-7.5,94.1,101.6,0.603,1.27,15.5,0.43,0.473,0.433
11,93.2,0.406,0.319,0.69,15.0,33.0,20.8,18.0,-6.7,93.2,99.7,0.591,1.16,15.0,0.425,0.47,0.435
62,100.8,0.421,0.309,0.725,17.8,31.8,21.1,17.8,-5.2,100.8,105.9,0.564,1.19,14.9,0.441,0.492,0.458
28,99.2,0.419,0.348,0.7,18.2,32.7,21.6,19.1,-4.7,99.2,104.0,0.59,1.13,15.1,0.44,0.489,0.461
24,98.6,0.414,0.348,0.702,18.6,32.6,21.6,19.4,-5.4,98.6,104.2,0.594,1.12,15.1,0.436,0.485,0.454
12,98.4,0.408,0.361,0.709,18.8,34.1,21.7,19.6,-1.4,98.4,99.7,0.602,1.1,15.0,0.43,0.481,0.485
81,106.3,0.441,0.344,0.779,16.3,32.2,21.7,16.4,-1.1,106.3,107.6,0.561,1.32,15.5,0.471,0.526,0.493
40,104.2,0.424,0.345,0.783,17.6,32.4,21.0,17.2,-1.1,104.2,105.3,0.564,1.22,14.9,0.452,0.512,0.49
20,102.9,0.417,0.339,0.783,17.6,32.4,21.6,18.1,-0.9,102.9,104.2,0.601,1.19,15.2,0.446,0.511,0.505
9,102.1,0.419,0.323,0.823,16.5,32.0,21.1,17.7,-6.8,102.1,109.4,0.573,1.19,15.0,0.446,0.508,0.467
80,101.3,0.441,0.334,0.725,13.2,33.6,22.3,16.0,-0.8,101.3,102.4,0.586,1.39,16.2,0.474,0.516,0.491
51,101.5,0.445,0.344,0.727,12.6,33.6,22.5,15.8,-0.8,101.5,102.6,0.586,1.42,16.4,0.478,0.52,0.493
25,101.0,0.451,0.314,0.703,12.2,34.0,23.1,16.0,0.2,101.0,100.7,0.591,1.45,16.8,0.482,0.517,0.497
2,104.4,0.478,0.294,0.75,12.0,36.1,20.2,18.6,3.3,104.4,101.6,0.481,1.09,15.0,0.509,0.54,0.48
80,102.9,0.429,0.35,0.722,13.7,31.0,23.0,14.2,-2.9,102.9,105.8,0.595,1.62,16.6,0.473,0.51,0.469
39,98.0,0.418,0.336,0.716,12.9,30.8,21.7,14.9,-5.5,98.0,103.4,0.591,1.46,15.9,0.451,0.493,0.449
37,97.3,0.416,0.335,0.713,12.8,30.7,21.4,15.0,-6.0,97.3,103.2,0.589,1.43,15.7,0.448,0.491,0.443
14,92.9,0.395,0.293,0.692,13.9,31.0,21.6,15.3,-7.8,92.9,100.1,0.612,1.41,15.6,0.42,0.462,0.411
76,103.3,0.433,0.343,0.716,12.3,31.8,21.9,14.9,-1.9,103.3,105.2,0.581,1.47,16.0,0.48,0.521,0.472
57,103.5,0.433,0.336,0.713,12.1,32.1,21.9,14.3,-0.8,103.5,104.3,0.582,1.53,16.1,0.479,0.521,0.481
41,104.4,0.436,0.339,0.717,11.5,31.9,22.2,13.9,-1.0,104.4,105.3,0.584,1.59,16.3,0.485,0.526,0.477
35,104.4,0.434,0.336,0.729,11.3,31.7,22.2,13.9,-1.3,104.4,105.6,0.586,1.6,16.4,0.483,0.525,0.474
70,105.1,0.461,0.349,0.713,11.5,29.9,23.2,16.3,-1.6,105.1,106.6,0.59,1.42,17.0,0.508,0.544,0.482
56,105.4,0.46,0.345,0.709,11.5,29.9,23.2,16.0,-1.8,105.4,107.2,0.592,1.45,17.0,0.506,0.543,0.483
41,105.8,0.46,0.354,0.698,11.5,30.1,23.5,15.8,-1.3,105.8,107.1,0.597,1.49,17.2,0.508,0.543,0.483
69,110.7,0.462,0.351,0.748,12.4,30.0,22.6,13.2,2.9,110.7,108.2,0.548,1.72,16.5,0.515,0.551,0.502
68,110.7,0.463,0.35,0.746,12.4,30.0,22.7,13.2,2.9,110.7,108.2,0.548,1.72,16.6,0.515,0.551,0.502
22,108.5,0.447,0.346,0.72,13.0,30.1,22.7,13.2,2.1,108.5,106.7,0.564,1.72,16.5,0.5,0.535,0.494
19,109.0,0.451,0.356,0.712,12.4,30.0,22.5,13.0,2.9,109.0,106.5,0.559,1.73,16.4,0.505,0.54,0.499
67,107.9,0.459,0.371,0.786,11.6,30.1,20.7,14.9,-3.5,107.9,111.4,0.531,1.4,15.4,0.498,0.55,0.48
